idx,feature
0,prs:1000pv
1,prs:1000q
2,prs:1000t
3,prs:1000u
4,prs:1000v
5,prs:1000z
6,prs:100pv
7,prs:100q
8,prs:100t
9,prs:100u
10,prs:100v
11,prs:100z
12,prs:150cc
13,prs:150pv
14,prs:150q
15,prs:150t
16,prs:150u
17,prs:150v
18,prs:150w
19,prs:150z
20,prs:200cc
21,prs:200pv
22,prs:200q
23,prs:200t
24,prs:200u
25,prs:200v
26,prs:200w
27,prs:200z
28,prs:250cc
29,prs:250pv
30,prs:250q
31,prs:250t
32,prs:250u
33,prs:250v
34,prs:250w
35,prs:250z
36,prs:300cc
37,prs:300pv
38,prs:300q
39,prs:300t
40,prs:300u
41,prs:300v
42,prs:300w
43,prs:300z
44,prs:400cc
45,prs:400pv
46,prs:400q
47,prs:400t
48,prs:400u
49,prs:400v
50,prs:400w
51,prs:400z
52,prs:500cc
53,prs:500pv
54,prs:500q
55,prs:500t
56,prs:500u
57,prs:500v
58,prs:500w
59,prs:500z
60,prs:50pv
61,prs:50q
62,prs:50t
63,prs:50u
64,prs:50v
65,prs:50z
66,prs:600cc
67,prs:600pv
68,prs:600q
69,prs:600t
70,prs:600u
71,prs:600v
72,prs:600w
73,prs:600z
74,prs:700cc
75,prs:700pv
76,prs:700q
77,prs:700t
78,prs:700u
79,prs:700v
80,prs:700w
81,prs:700z
82,prs:850cc
83,prs:850pv
84,prs:850q
85,prs:850t
86,prs:850u
87,prs:850v
88,prs:850w
89,prs:850z
90,prs:925cc
91,prs:925pv
92,prs:925q
93,prs:925t
94,prs:925u
95,prs:925v
96,prs:925w
97,prs:925z
98,sfc_regular:blh
99,sfc_regular:d2m
100,sfc_regular:flsr
101,sfc_regular:msl
102,sfc_regular:sst
103,sfc_regular:swh
104,sfc_regular:t2m
105,sfc_regular:u10
106,sfc_regular:v10
107,sfc_average:ewss
108,sfc_average:lgws
109,sfc_average:mgws
110,sfc_average:nsss
111,sfc_average:slhf
112,sfc_average:sshf
113,sfc_average:ssr
114,sfc_average:str
115,sfc_average:tp
116,time:hour_ratio
117,time:hour_ratio_cos
118,time:hour_ratio_sin
119,time:year_ratio
120,time:year_ratio_cos
121,time:year_ratio_sin
122,sfc_regular:lsm
123,sfc_regular:z
124,sfc_average:tisr
125,step
