variable,mean,std,min,max,median,kurtosis,skewness
ewss,28.650406,623.70917,-95085.375,64574.266,-9.453125,82.595825,3.0782158374786377
lgws,4.438188,284.07996,-43449.68,45320.242,0.01953125,424.12308,5.84041166305542
mgws,8.477131,240.03366,-50451.72,34877.766,0.01953125,246.74437,0.16229641437530518
nsss,-5.92108,591.45,-75640.19,55604.95,8.1640625,70.35539,-0.4037860631942749
slhf,-370163.84,341864.62,-6566890.0,1351459.0,-320472.0,3.3455992,-1.4958149194717407
sshf,-66212.24,157527.78,-3398605.0,2237820.0,-28894.0,15.790821,-3.33705472946167
ssr,663539.1,875441.25,3.5999988e-12,3745408.0,36736.0,-0.23525405,1.0472968816757202
str,-194569.83,100077.42,-1159777.0,169015.0,-177662.0,4.4656963,-1.4582879543304443
tisr,1414617.8,1640212.6,0.0,4941568.0,218112.0,-1.2266848,0.6080289483070374
tp,0.00022799044,0.0006981724,0.0,0.07768631,1.0967255e-05,140.7079,8.611916542053223
